event_id,sport,category,event
5f4a8872-1189-48a7-a26b-269cf3deeab8,Ice Hockey,North America,London Knights - Saginaw Spirit
341bf9c8-0b78-4154-85eb-96d0130556f8,Football,Egypt,El Madina El Monawara - Kima Aswan
c43d2703-0b85-442a-9f01-7e16c0fb3879,Tennis,ITF,Vylegzhanin Nikolay - Gueymard Wayenburg Sascha
31e42a9d-dcec-4d76-818c-cd64f5da7699,Volleyball,Bulgaria,Marek Union-Ivkoni Dupnitsa - Deya Volley Burgas
ddc1d4fe-e4ab-4c2a-85bf-d0df9af98984,Tennis,ITF,Friberg Karl - Zormann Marcelo
f7cd2f80-7bbc-41ec-8e2e-9040659a7ed2,Tennis,ITF,Alcala Gurri Max - Friend Jay Dylan Hara
25c03d7f-de75-4553-abea-359c46a20bc0,Tennis,ITF,Bouzo Zanotti Noelia - Gruszczynska Rozalia
664018ad-f8d7-47a1-84e2-db6a6fbaf852,Tennis,ITF,Hering Katharina - Mercadier Naia
f5a3fc7a-75e2-45bc-b857-422c52bf6465,Tennis,ITF,Hindova Denisa - Raffaeta Elena
7b64c7a7-cbb9-4cd4-812e-16ca5c257eb0,Tennis,ITF,Chiesa Enola - Curmi Francesca
3d86e230-07ef-40d7-872c-e02f55c19429,Football,Nepal,Bansbari Club - Shree Kumari Club
268b0c23-99fc-4290-bafa-9091160f0075,Tennis,ITF,Barun Bozo - Andrejic Marko
3b8a605c-d17a-44f9-a9ec-b7a14d3ac55b,Tennis,ITF,Biro Andre - Vojinovic Lazar
9ef28662-dcbe-40d2-919a-d17eb9746c96,Tennis,ITF,Voisin Emilien - Vetrih Miha
41ef8728-ea8d-437a-8b52-512738e3748e,Tennis,ITF,Juhas Kristijan - Havlicek Mark
707e0f55-df99-4aac-baf0-8c31ddbda0ba,Tennis,ITF,Rey Garcia Alba - Moreno Arias Lidia
80c0dd4a-9180-4a0b-a8b6-b53804b41355,Tennis,ITF,Zmak Deni - Galik Matej
ecfa341e-d56f-42e8-91da-700cb5a7014f,Tennis,ITF,Trapeznikov Zakhar  - Martinez Martinez Jorge
50958178-02ce-4234-b0d4-1693e5d2368b,Tennis,ITF,Thanos Aristotelis - Scomparin Pietro Romeo
2d0923b0-e6e8-41c6-9238-6bc7680e68ff,Basketball,NBA,Trae Young - Josh Hart
